,country,date,close,index1
252,USA,2020-07-16,300.13,252
253,Mexico,2020-07-15,309.2,253
254,USA,2020-07-15,309.2,254
255,USA,2020-07-13,299.41,255
256,Netherlands,2020-07-09,278.86,256
257,USA,2020-07-09,278.86,257
258,USA,2020-07-08,273.18,258
259,USA,2020-07-08,273.18,259
260,USA,2020-07-02,241.73,260
261,USA,2020-07-02,241.73,261
262,USA,2020-07-02,241.73,262
263,USA,2020-07-02,241.73,263
264,USA,2020-07-01,223.93,264
265,Norway,2020-06-30,215.96,265
266,United Kingdom,2020-06-30,215.96,266
267,Taiwan,2020-06-29,201.87,267
268,USA,2020-06-26,191.95,268
269,USA,2020-06-26,191.95,269
270,USA,2020-06-26,191.95,270
271,USA,2020-06-25,197.2,271
272,USA,2020-06-24,192.17,272
273,USA,2020-06-24,192.17,273
274,United Kingdom,2020-06-23,200.36,274
275,USA,2020-06-19,200.18,275
276,USA,2020-06-19,200.18,276
277,USA,2020-06-18,200.79,277
278,USA,2020-06-18,200.79,278
279,USA,2020-06-17,198.36,279
280,USA,2020-06-17,198.36,280
281,USA,2020-06-17,198.36,281
282,USA,2020-06-11,194.57,282
283,USA,2020-06-10,205.01,283
284,USA,2020-06-10,205.01,284
285,USA,2020-06-08,189.98,285
286,USA,2020-05-29,167.0,286
287,USA,2020-05-29,167.0,287
288,USA,2020-05-28,161.16,288
289,USA,2020-05-28,161.16,289
290,USA,2020-05-27,164.05,290
291,USA,2020-05-20,163.11,291
292,USA,2020-05-19,161.6,292
293,USA,2020-05-13,158.19,293
294,USA,2020-05-06,156.52,294
295,USA,2020-05-06,156.52,295
296,Norway,2020-04-24,145.03,296
297,USA,2020-04-17,150.78,297
298,USA,2020-04-08,109.77,298
299,USA,2020-04-06,103.25,299
300,Australia,2020-04-06,103.25,300
301,Canada,2020-04-03,96.0,301
302,Taiwan,2020-03-31,104.8,302
303,USA,2020-03-31,104.8,303
304,Canada,2020-03-31,104.8,304
305,China,2020-03-31,104.8,305
306,China,2020-03-31,104.8,306
307,Australia,2020-03-31,104.8,307
308,Japan,2020-03-31,104.8,308
309,USA,2020-03-30,100.43,309
310,Poland,2020-03-30,100.43,310
311,USA,2020-03-25,107.85,311
312,USA,2020-03-25,107.85,312
313,USA,2020-03-24,101.0,313
314,Canada,2020-03-24,101.0,314
315,USA,2020-03-24,101.0,315
316,USA,2020-03-24,101.0,316
317,United Kingdom,2020-03-23,86.86,317
318,USA,2020-03-18,72.24,318
319,Canada,2020-03-16,89.01,319
320,USA,2020-03-16,89.01,320
321,Serbia,2020-03-13,109.32,321
322,Serbia,2020-03-13,109.32,322
323,Norway,2020-03-12,112.11,323
324,Bulgaria,2020-03-11,126.85,324
325,USA,2020-03-06,140.7,325
326,Australia,2020-03-05,144.91,326
327,USA,2020-03-05,144.91,327
328,Australia,2020-03-04,149.9,328
329,USA,2020-02-28,133.6,329
330,USA,2020-02-27,135.8,330
331,USA,2020-02-25,159.98,331
332,USA,2020-02-25,159.98,332
333,France,2020-02-25,159.98,333
