,country,date,close
233,USA,2020-08-07,290.54
234,Canada,2020-08-06,297.92
235,USA,2020-08-05,297.0
236,United Kingdom,2020-08-05,297.0
237,United Kingdom,2020-08-05,297.0
238,USA,2020-08-04,297.4
239,France,2020-07-31,286.15
240,USA,2020-07-30,297.5
241,USA,2020-07-29,299.82
242,Spain,2020-07-29,299.82
243,Iceland,2020-07-27,307.92
244,USA,2020-07-24,283.4
245,Netherlands,2020-07-24,283.4
246,Italy,2020-07-23,302.61
247,Denmark,2020-07-22,318.47
248,USA,2020-07-21,313.67
249,Canada,2020-07-20,328.6
250,Netherlands,2020-07-16,300.13
251,Norway,2020-07-16,300.13
252,USA,2020-07-16,300.13
253,Mexico,2020-07-15,309.2
254,USA,2020-07-15,309.2
255,USA,2020-07-13,299.41
256,Netherlands,2020-07-09,278.86
257,USA,2020-07-09,278.86
258,USA,2020-07-08,273.18
259,USA,2020-07-08,273.18
260,USA,2020-07-02,241.73
261,USA,2020-07-02,241.73
262,USA,2020-07-02,241.73
263,USA,2020-07-02,241.73
264,USA,2020-07-01,223.93
265,Norway,2020-06-30,215.96
266,United Kingdom,2020-06-30,215.96
267,Taiwan,2020-06-29,201.87
268,USA,2020-06-26,191.95
269,USA,2020-06-26,191.95
270,USA,2020-06-26,191.95
271,USA,2020-06-25,197.2
272,USA,2020-06-24,192.17
273,USA,2020-06-24,192.17
274,United Kingdom,2020-06-23,200.36
275,USA,2020-06-19,200.18
276,USA,2020-06-19,200.18
277,USA,2020-06-18,200.79
278,USA,2020-06-18,200.79
279,USA,2020-06-17,198.36
280,USA,2020-06-17,198.36
281,USA,2020-06-17,198.36
282,USA,2020-06-11,194.57
283,USA,2020-06-10,205.01
284,USA,2020-06-10,205.01
285,USA,2020-06-08,189.98
286,USA,2020-05-29,167.0
287,USA,2020-05-29,167.0
288,USA,2020-05-28,161.16
289,USA,2020-05-28,161.16
290,USA,2020-05-27,164.05
291,USA,2020-05-20,163.11
292,USA,2020-05-19,161.6
293,USA,2020-05-13,158.19
294,USA,2020-05-06,156.52
295,USA,2020-05-06,156.52
296,Norway,2020-04-24,145.03
297,USA,2020-04-17,150.78
298,USA,2020-04-08,109.77
299,USA,2020-04-06,103.25
300,Australia,2020-04-06,103.25
301,Canada,2020-04-03,96.0
302,Taiwan,2020-03-31,104.8
303,USA,2020-03-31,104.8
304,Canada,2020-03-31,104.8
305,China,2020-03-31,104.8
306,China,2020-03-31,104.8
307,Australia,2020-03-31,104.8
308,Japan,2020-03-31,104.8
309,USA,2020-03-30,100.43
310,Poland,2020-03-30,100.43
311,USA,2020-03-25,107.85
312,USA,2020-03-25,107.85
313,USA,2020-03-24,101.0
314,Canada,2020-03-24,101.0
315,USA,2020-03-24,101.0
316,USA,2020-03-24,101.0
317,United Kingdom,2020-03-23,86.86
318,USA,2020-03-18,72.24
319,Canada,2020-03-16,89.01
320,USA,2020-03-16,89.01
321,Serbia,2020-03-13,109.32
322,Serbia,2020-03-13,109.32
323,Norway,2020-03-12,112.11
324,Bulgaria,2020-03-11,126.85
325,USA,2020-03-06,140.7
326,Australia,2020-03-05,144.91
327,USA,2020-03-05,144.91
328,Australia,2020-03-04,149.9
329,USA,2020-02-28,133.6
330,USA,2020-02-27,135.8
331,USA,2020-02-25,159.98
332,USA,2020-02-25,159.98
333,France,2020-02-25,159.98
334,USA,2020-02-25,159.98
335,USA,2020-02-25,159.98
336,USA,2020-02-25,159.98
337,USA,2020-02-21,180.2
338,USA,2020-02-21,180.2
339,Norway,2020-02-21,180.2
340,USA,2020-02-20,179.88
341,USA,2020-02-18,171.68
342,USA,2020-02-18,171.68
343,USA,2020-02-14,160.01
344,USA,2020-02-14,160.01
345,USA,2020-02-14,160.01
346,USA,2020-02-13,160.8
347,Sweden,2020-02-13,160.8
348,Sweden,2020-02-11,154.88
349,USA,2020-02-07,149.61
350,USA,2020-02-07,149.61
351,USA,2020-02-07,149.61
352,USA,2020-02-07,149.61
353,USA,2020-02-06,149.79
354,USA,2020-02-06,149.79
355,USA,2020-01-30,128.16
356,USA,2020-01-30,128.16
357,USA,2020-01-30,128.16
358,USA,2020-01-30,128.16
359,USA,2020-01-29,116.2
360,USA,2020-01-28,113.38
361,USA,2020-01-28,113.38
362,USA,2020-01-28,113.38
363,Canada,2020-01-28,113.38
364,USA,2020-01-28,113.38
365,Taiwan,2020-01-27,111.6
