Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Richmond - Pierce St, CA",3288 Pierce St,Richmond,CA,94804,USA,12,250,"37.898736, -122.308672",4,OPEN,5/30/2020,gmap | forum | tesla
"Kelso, WA",205 Three Rivers Dr,Kelso,WA,98626,USA,12,250,"46.143403, -122.899225",6,OPEN,5/29/2020,gmap | forum | tesla
"Fargo, ND",5680 23rd Ave S,Fargo,ND,58104,USA,8,250,"46.843601, -96.882492",276,OPEN,5/29/2020,gmap | forum | tesla
"Easton, MD",7655 Ocean Gateway,Easton,MD,21601,USA,8,250,"38.759257, -76.061405",13,OPEN,5/28/2020,gmap | forum | tesla
"Emporia, KS",1330 Industrial Rd,Emporia,KS,66801,USA,8,250,"38.414266, -96.216714",354,OPEN,5/28/2020,gmap | forum | tesla
"St. Louis Park, MN",3601 State Hwy 100 (MN-100),St. Louis Park,MN,55416,USA,8,250,"44.935964, -93.347857",269,OPEN,5/27/2020,gmap | forum | tesla
"Hyannis, MA",425 Attucks Ln,Hyannis,MA,2601,USA,12,250,"41.676619, -70.307049",21,OPEN,5/20/2020,gmap | forum | tesla
"Bensalem, PA",3620 Street Rd,Bensalem,PA,19020,USA,8,250,"40.124944, -74.963908",36,OPEN,5/19/2020,gmap | forum | tesla
"White Hills, AZ",12683 White Hills Rd,Willow Beach,AZ,86445,USA,8,250,"35.7, -114.476782",746,OPEN,5/13/2020,gmap | forum | tesla
"Manteca - Spreckels Ave, CA",280 Spreckels Ave,Manteca,CA,95366,USA,12,250,"37.795975, -121.19771",13,OPEN,5/9/2020,gmap | forum | tesla
"Goleta, CA",7004 Market Pl Dr,Goleta,CA,93117,USA,12,250,"34.427015, -119.871768",9,OPEN,5/6/2020,gmap | forum | tesla
"Gilman, IL",1043 South Crescent Street,Gilman,IL,60938,USA,8,250,"40.752202, -87.996464",199,OPEN,5/6/2020,gmap | forum | tesla
"Schertz, TX",17640 IH 35 N,Schertz,TX,78154,USA,8,150,"29.598455, -98.276067",254,OPEN,5/2/2020,gmap | forum | tesla
"Trzebownisko, Poland",Hotel Blue Diamond Active SPA,Nowa Wieś,,36-001,Poland,4,150,"50.089246, 22.045561",197,OPEN,4/25/2020,gmap | forum | tesla
"Deltona, FL",3400 Howland Blvd,Deltona,FL,32725,USA,8,250,"28.9498974, -81.2508045",16,OPEN,4/25/2020,gmap | forum | tesla
"Mosjøen North, Norway","Dolstadgata 19, by Uno-X",Mosjøen,,8663,Norway,10,150,"65.841737, 13.187839",0,OPEN,4/24/2020,gmap | forum | tesla
"North Canaan, CT",11 E Main St,Canaan,CT,6018,USA,8,250,"42.024331, -73.322684",207,OPEN,4/17/2020,gmap | forum | tesla
"Revere, MA",40 Furlong Dr,Revere,MA,2151,USA,8,250,"42.398547, -71.00021",3,OPEN,4/11/2020,gmap | forum | tesla
"Richmond, IN",2507 Chester Blvd,Richmond,IN,47374,USA,8,250,"39.868255, -84.886326",334,OPEN,4/8/2020,gmap | forum | tesla
