,country,city,status,open_date,lat,long
688,Netherlands,Leiderdorp,OPEN,2019-04-18,52.1601396,4.5491453
689,China,Jingdezhen,OPEN,2019-04-18,29.29367078,117.18017611
690,USA,Gainesville,OPEN,2019-04-17,29.624756,-82.376597
691,USA,Bronx,OPEN,2019-04-11,40.86368,-73.82916
692,Portugal,Alcantarilha,OPEN,2019-04-06,37.150529,-8.364525
693,USA,San Ramon,OPEN,2019-04-05,37.774766,-121.979789
694,China,Chenzhou,OPEN,2019-04-03,25.78800517,113.10181945
695,China,Wuxi,OPEN,2019-04-03,31.47987581,120.30690575
696,China,Shenzhen,OPEN,2019-04-03,22.602722,114.148057
697,China,Quanzhou,OPEN,2019-04-03,24.78357395,118.57100567
698,China,Hangzhou,OPEN,2019-04-03,30.30556338,120.14396349
699,China,Shanghai,OPEN,2019-04-03,31.13140735,121.40009915
700,China,Xi'an,OPEN,2019-04-03,34.29409625,108.94804373
701,Belgium,Wavre,OPEN,2019-04-02,50.707559,4.597822
702,China,Hangzhou,OPEN,2019-04-02,30.24097585,120.20605314
703,Australia,Dubbo,OPEN,2019-04-02,-32.249933,148.609166
704,South Korea,대전광역시,OPEN,2019-04-02,36.423696,127.419877
705,Taiwan,新北,OPEN,2019-04-02,25.008094,121.474834
706,China,Tianjin,OPEN,2019-04-02,39.119633,117.627563
707,Australia,Bathurst,OPEN,2019-04-01,-33.419063,149.586679
708,USA,Corona,OPEN,2019-03-30,33.826338,-117.515411
709,USA,Fontana,OPEN,2019-03-30,34.151177,-117.471412
710,France,Ury,OPEN,2019-03-30,48.3495627,2.6067816
711,Netherlands,Rosmalen,OPEN,2019-03-30,51.720551,5.333622
712,Croatia,Gornja Vrba,OPEN,2019-03-29,45.175641,18.063889
713,Germany,Wittlich,OPEN,2019-03-29,49.97003,6.86175
714,Germany,Kappel-Grafenhausen,OPEN,2019-03-28,48.281347,7.77755
715,United Kingdom,Perth,OPEN,2019-03-26,56.386,-3.4792
716,China,Guangzhou,OPEN,2019-03-26,23.21639027,113.29620801
717,China,Shenzhen,OPEN,2019-03-26,22.540901,114.111081
718,China,Dazhou,OPEN,2019-03-26,31.18415974,107.51114254
719,China,Foshan,OPEN,2019-03-26,23.05130734,113.14989113
720,China,Huangling,OPEN,2019-03-26,35.579293,109.24420209
721,USA,Annapolis,OPEN,2019-03-22,38.980071,-76.540498
722,China,Macau,OPEN,2019-03-21,22.190596,113.5559549
723,China,Zhaotong,OPEN,2019-03-21,27.32188089,103.70575385
724,USA,Indianapolis,OPEN,2019-03-20,39.765443,-86.161222
725,USA,Antioch,OPEN,2019-03-20,37.963695,-121.737262
726,Netherlands,Bunnik,OPEN,2019-03-15,52.061418,5.20582
727,China,Yantai,OPEN,2019-03-14,37.57569812,121.2813953
728,China,Neijiang,OPEN,2019-03-14,29.58555966,105.05746082
729,Netherlands,Gouda,OPEN,2019-03-13,52.022955,4.684605
730,USA,Los Angeles,OPEN,2019-03-07,34.047424,-118.264589
731,USA,Parkersburg,OPEN,2019-03-06,39.2633181,-81.5446371
732,USA,Parsippany,OPEN,2019-03-06,40.850095,-74.350835
733,Denmark,Rødekro,OPEN,2019-03-02,55.068518,9.361098
734,USA,Rockaway,OPEN,2019-03-02,40.908225,-74.557405
735,Norway,Brumunddal,OPEN,2019-03-01,60.876807,10.930353
736,Canada,Saint Leonard,OPEN,2019-02-21,47.168758,-67.918038
737,USA,Santa Monica,OPEN,2019-02-20,34.013087,-118.493843
738,USA,Orlando,OPEN,2019-02-19,28.555278,-81.198944
739,USA,Altoona,OPEN,2019-02-17,41.663503,-93.465484
740,Sweden,Storuman,OPEN,2019-02-17,65.092773,17.108301
741,Germany,Weyarn,OPEN,2019-02-16,47.86533,11.790203
742,USA,National Harbor,OPEN,2019-02-16,38.785335,-77.014771
743,USA,Scottsdale,OPEN,2019-02-16,33.623205,-111.930338
744,USA,Kearny,OPEN,2019-02-16,40.749156,-74.136392
745,USA,Columbus,OPEN,2019-02-15,39.974472,-83.00092
746,Germany,Bruchsal,OPEN,2019-02-15,49.138361,8.562417
747,China,Shangluo,OPEN,2019-02-14,33.85526664,109.94937374
748,USA,Riverview,OPEN,2019-02-14,27.7915,-82.332833
749,China,Linyi,OPEN,2019-02-14,35.074847,118.35717
750,Taiwan,台中,OPEN,2019-02-12,24.183497,120.615073
751,USA,Corte Madera,OPEN,2019-02-12,37.928278,-122.514823
752,USA,Roscoe,OPEN,2019-02-12,41.93056,-74.908742
753,USA,Yuba City,OPEN,2019-02-05,39.147833,-121.647861
754,USA,San Jose,OPEN,2019-02-02,37.322134,-121.949126
755,USA,San Jose,OPEN,2019-02-02,37.322234,-121.949226
756,USA,San Diego,OPEN,2019-02-01,32.769144,-117.166271
757,USA,Salamanca,OPEN,2019-01-31,42.153067,-78.747726
758,USA,Staunton,OPEN,2019-01-31,38.1334859,-79.0434692
759,USA,Hudson,OPEN,2019-01-29,42.395775,-71.594724
760,Canada,Mississauga,OPEN,2019-01-25,43.598116,-79.786045
761,China,Hangzhou,OPEN,2019-01-25,30.2919322,120.07599674
762,China,Shanghai,OPEN,2019-01-25,31.15246462,121.2264861
763,China,Yancheng,OPEN,2019-01-23,33.33934693,120.16134892
764,USA,Mashpee,OPEN,2019-01-18,41.6175,-70.488528
765,China,Changsha,OPEN,2019-01-15,28.18891154,112.96995616
766,USA,San Diego,OPEN,2019-01-12,33.020052,-117.126278
767,USA,Paulsboro,OPEN,2019-01-12,39.822355,-75.240447
768,USA,Dover,OPEN,2019-01-12,39.19477,-75.54729
769,China,Suzhou,OPEN,2019-01-10,31.27528179,120.52804961
770,China,Shizhu,OPEN,2019-01-08,29.996889,108.136909
771,USA,Shelby,OPEN,2019-01-08,41.500575,-95.451663
772,China,Ningbo,OPEN,2019-01-03,29.85999096,121.61287381
773,China,Zhangzhou,OPEN,2019-01-03,24.51604183,117.63628418
774,France,La Léchère-les-Bains,OPEN,2019-01-03,45.51877,6.482522
775,USA,Altoona,OPEN,2018-12-31,40.499647,-78.391352
776,USA,Payson,OPEN,2018-12-29,34.242065,-111.322538
777,China,Guangzhou,OPEN,2018-12-29,23.11498452,113.33212844
778,China,Jinzhai,OPEN,2018-12-29,31.71725262,115.94792121
779,USA,Walker,OPEN,2018-12-24,43.018501,-85.723629
780,USA,Macon,OPEN,2018-12-23,32.897259,-83.689432
781,USA,Cincinnati,OPEN,2018-12-23,39.162833,-84.426528
782,Canada,Waasis,OPEN,2018-12-22,45.851688,-66.560635
783,USA,Westminster,OPEN,2018-12-22,33.745288,-118.012279
784,Australia,Broadbeach,OPEN,2018-12-22,-28.03527,153.427327
785,USA,San Jose,OPEN,2018-12-22,37.258506,-121.871476
786,USA,Philadelphia,OPEN,2018-12-21,39.962023,-75.172049
787,USA,West Palm Beach,OPEN,2018-12-21,26.782582,-80.092328
788,Australia,Tamworth,OPEN,2018-12-21,-31.101649,150.917126
789,New Zealand,Christchurch,OPEN,2018-12-21,-43.52642,172.628965
790,Germany,Pfalzfeld,OPEN,2018-12-21,50.115761,7.59807
791,China,Shanghai,OPEN,2018-12-21,31.23245587,121.41254494
792,Germany,Dettelbach,OPEN,2018-12-20,49.77884,10.068646
793,USA,St. Johns,OPEN,2018-12-20,30.060278,-81.513861
794,Germany,Oberhonnefeld,OPEN,2018-12-20,50.562473,7.525672
795,Canada,Saint-Léonard-d'Aston,OPEN,2018-12-19,46.05864,-72.312291
796,Japan,Kyoto,OPEN,2018-12-19,34.986112,135.752512
797,USA,Haymarket,OPEN,2018-12-19,38.815129,-77.642614
798,USA,Waterbury,OPEN,2018-12-19,41.53713,-73.005368
799,Norway,Øyer,OPEN,2018-12-19,61.243236,10.434457
800,USA,Richmond,OPEN,2018-12-17,29.561504,-95.695242
801,USA,Alameda,OPEN,2018-12-16,37.756265,-122.249306
802,USA,Augusta,OPEN,2018-12-15,33.481235,-82.129967
803,South Korea,경상대로,OPEN,2018-12-13,36.515931,128.1634319
804,South Korea,진주시,OPEN,2018-12-12,35.1802627,128.1397201
805,Australia,Maroochydore,OPEN,2018-12-11,-26.65402,153.087104
806,China,Zhengzhou,OPEN,2018-12-11,34.843483,113.693184
807,China,Shanghai,OPEN,2018-12-11,31.094776,121.503914
808,China,Shenyang,OPEN,2018-12-11,41.776581,123.436186
809,USA,Cle Elum,OPEN,2018-12-08,47.188802,-120.903135
810,Canada,Victoria,OPEN,2018-12-08,48.456647,-123.376329
811,USA,Bethany,OPEN,2018-12-07,40.265916,-94.015705
812,USA,Manhattan Beach,OPEN,2018-12-06,33.901472,-118.393833
813,China,Shanghai,OPEN,2018-11-28,31.15443433,121.35137657
814,Canada,Yamachiche,OPEN,2018-11-23,46.262079,-72.876801
